CvM,AD,PQ-PQ
0.0772713951637028,0.5261890794594711,0.4065736113944469
0.0777372031261437,0.5264764984301171,0.4069923088783376
0.07823931880147222,0.5274330550844787,0.4076252275458505
0.07840338349171734,0.5277544620713719,0.4107162661399133
0.07869819485602425,0.5282642000138708,0.41076761508272536
0.07869946656238806,0.5295672440056727,0.41409223211094737
0.07881722216584455,0.532344022267675,0.4149126492549231
0.07886395208659625,0.5338169656544891,0.415858991656264
0.07933493484552923,0.5340070896757882,0.41678984387175716
0.07942684438664767,0.5340839892947606,0.41767401322346853
0.07945541423814136,0.5345949544584203,0.41822606649881877
0.07949702147713199,0.5349743250432032,0.41897849322146
0.07957172708824271,0.5356604072022185,0.4192309095087955
0.07969789953092024,0.5375271386128357,0.41977830340227135
0.07982306039621676,0.5382792577358,0.42176358242114614
0.08006166033363465,0.5389050019163197,0.4239431582254407
0.08011420732931068,0.5398854223637789,0.42507052618133057
0.0802433044510893,0.540244502642042,0.42556487455613173
0.08045090002166966,0.5402611932865609,0.42602909962882174
0.08048115598903477,0.5420381263757025,0.42720507556154064
0.08072014121440879,0.5425042031389785,0.4294484315631036
0.0809053837142718,0.5429271371010627,0.4295338988294577
0.08098731185273274,0.5435673379082265,0.43156831988731414
0.08101041576778853,0.5440182714498969,0.43268911358226547
0.08105972156870489,0.5446017578582248,0.4337992795989761
0.0810981857401946,0.5459340429665168,0.4342470557271744
0.08118807799954783,0.5461855446086752,0.4363232969541767
0.08138184662222431,0.5472756861666943,0.4365480212073804
0.08144464772964964,0.5480696551072838,0.43833458306422957
0.08150208655284562,0.5480808447316574,0.4392933870618226
0.08174018857272643,0.5486827985807736,0.44000432435835135
0.08185546260684687,0.5500822093564056,0.441861287478732
0.08188975434067262,0.5520208728552161,0.4421550860562078
0.08193324527411411,0.5529567753416025,0.44224432314291817
0.08228251518915407,0.5538018783110097,0.44671652918642507
0.08232265441887367,0.5540789794578895,0.4483559734459417
0.08256692061246275,0.5563113459415835,0.45019657051167367
0.08256739665760694,0.5566988616235586,0.451496887953
0.08262289338540814,0.5594839900068741,0.4516062327261434
0.08269947056501509,0.5610283772944038,0.45197530182857704
0.08288791310075322,0.5630436631789637,0.45323952208521556
0.08294285202429715,0.5676307134674439,0.4544473775733542
0.0832160057291767,0.5683417565357332,0.45475963049269474
0.08364281669970763,0.5709629549645029,0.45514777046710425
0.08382885644277,0.5711468381447712,0.45532108940014276
0.08388747602384332,0.5729653423702864,0.4568548603205448
0.08398663848839037,0.5734083725829238,0.45879201712599843
0.08431059578729588,0.5734785551170265,0.4620574835177173
0.08450676623342986,0.5751192828604647,0.46431006939447117
0.0848222569237994,0.575478132828024,0.46478725180964287
0.0848989931946013,0.5773806508529342,0.4658089352966117
0.08515963120076442,0.5798818621733891,0.4671179821134995
0.08526164122574952,0.5811699034582739,0.4679657414516386
0.08535565635263669,0.5813243164977447,0.46809298044646025
0.0860313367594403,0.5836240579233928,0.46819605366166067
0.08605494906553143,0.5848385724247314,0.46927830447256696
0.08625767221876655,0.5858481498780576,0.4695525026823334
